book_id,蔵書コード,book_detail_id,place,state,発行日,発行版
1,ADKE-0001,1,0,0,2010/9/10,第9刷発行
2,ADKE-0003,2,0,0,2011/5/10,初版第1刷
3,ADKE-0006,3,0,0,2001/3/30,初版第1刷発行
4,ADKE-0010,4,0,0,2012/12/20,初版
5,ADKE-0011,5,0,0,2000/2/5,初版第1刷
6,ADKE-0013,6,0,0,2011/2/15,初版第3刷
7,ADKE-0023,7,0,0,2006/7/14,初版第1刷
8,ADKE-0024,8,0,0,2006/5/26,初版
9,ADKE-0025,9,0,0,2006/9/30,初版第2刷
10,ADKE-0026,10,0,0,2014/3/15,初版第3刷
11,ADKE-0028,11,0,0,2013/10/16,第6刷
12,ADKE-0029,12,0,0,2013/12/13,初版第3刷発行
13,ADKE-0031,13,0,0,2007/6/20,初版第10刷発行
14,ADKE-0034,14,0,0,2015/4/10,第2版第7刷発行
15,ADKE-0036,15,0,0,2013/1/28,第1版第1刷
16,ADKE-0038,16,0,0,2011/1/21,初版第3刷
17,ADKE-0039,17,0,0,2011/5/27,第1版第10刷
18,ADKE-0041,18,0,0,2010/2/26,初版第1刷
19,ADKE-0042,19,0,0,2011/6/1,初版第1刷
20,ADKE-0043,20,0,0,2013/2/18,初版第7刷
21,ADKE-0044,21,0,0,2011/3/28,初版第1刷
22,ADKE-0046,22,0,0,2011/11/25,初版第1刷
23,ADKE-0048,23,0,0,2010/9/1,第1版第1刷
24,ADKE-0049,24,0,0,2011/2/17,第1版第4刷
25,ADKE-0062,25,0,0,1997/12/1,初版第3刷
26,ADKE-0063,26,0,0,1993/9/15,第1版第1刷発行
27,ADKE-0064,27,0,0,1999/6/30,不明
28,ADKE-0065,28,0,0,1998/11/20,改訂版第2刷発行
29,ADKE-0066,29,0,0,1999/4/5,改訂版第5刷発行
30,ADKE-0067,30,0,0,2011/3/15,初版第8刷
31,ADKE-0068,31,0,0,1999/4/1,第3版第1刷
32,ADKE-0070,32,0,0,2006/11/1,第1版第1刷
